Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
44,tt11252248,2022-04-08,2022-09-08,"Opening Weekend: $14,883,928
Domestic: $61,778,069
International: $23,115,471

TOTAL: $84,893,540",Dog,https://www.imdb.com/title/tt11252248/,movie,6.5,101,2022,"Comedy, Drama",37472,2022-02-14,"Reid Carolin, Channing Tatum"
45,tt11466222,2022-04-08,2023-01-18,"Opening Weekend: $23,154,388
Domestic: $57,743,451
International: $22,740,710

TOTAL: $80,484,161",Jackass Forever,https://www.imdb.com/title/tt11466222/,movie,6.9,96,2022,"Documentary, Action, Comedy",45179,2022-02-01,Jeff Tremaine
46,tt9764362,2022-11-29,2023-01-31,"Opening Weekend: $9,004,957
Domestic: $38,486,461
International: $40,791,540

TOTAL: $79,278,001",The Menu,https://www.imdb.com/title/tt9764362/,movie,7.2,107,2022,"Horror, Thriller",202168,2022-09-10,Mark Mylod
47,tt12003946,2022-12-06,2023-01-31,"Opening Weekend: $13,450,240
Domestic: $49,724,195
International: $25,947,000

TOTAL: $75,671,195",Violent Night,https://www.imdb.com/title/tt12003946/,movie,6.7,112,2022,"Action, Comedy, Crime, Fantasy, Thriller",58283,2022-11-12,Tommy Wirkola
48,tt10298840,2022-11-30,2023-01-31,"5-Day Opening Weekend: $18,855,156
Domestic: $37,965,824
International: $35,469,670

TOTAL: $73,435,494",Strange World,https://www.imdb.com/title/tt10298840/,movie,5.6,102,2022,"Animation, Action, Adventure, Comedy, Family, Fantasy, Sci-Fi",32884,2022-11-19,"Don Hall, Qui Nguyen"
49,tt19770970,2022-06-13,2023-01-18,"Domestic:
International: $72,653,401

TOTAL: $72,653,401 (Japanese movie) ",Detective Conan: The Bride of Halloween,https://www.imdb.com/title/tt19770970/,movie,6.8,111,2022,"Animation, Action, Crime, Mystery, Romance, Thriller",1038,2022-04-15,"Susumu Mitsunaka, Gôshô Aoyama"
50,tt11138512,2022-04-24,2022-09-08,"Opening Weekend: $12,000,000
Domestic: $34,233,110
International: $35,400,000

TOTAL: $69,633,110",The Northman,https://www.imdb.com/title/tt11138512/,movie,7.1,137,2022,"Action, Adventure, Drama, Fantasy, History, Thriller",214279,2022-04-01,Robert Eggers
51,tt15242330,2023-01-18,2023-01-18,"Opening Weekend:
Domestic:
International: $68,470,204

TOTAL: $68,470,204 (Japanese movie) ",The First Slam Dunk,https://www.imdb.com/title/tt15242330/,movie,8.5,124,2022,"Animation, Comedy, Drama, Sport",1167,2022-12-03,"Takehiko Inoue, Yasuyuki Ebara"
52,tt5834426,2022-04-24,2022-12-06,"Opening Weekend: $9,868,997
Domestic: $19,060,660
International: $48,232,739

TOTAL: $67,293,399",Moonfall,https://www.imdb.com/title/tt5834426/,movie,5.1,130,2022,"Action, Adventure, Sci-Fi",83060,2022-02-02,Roland Emmerich
53,tt13223398,2022-08-22,2023-01-18,"Opening Weekend: $11,575,855
Domestic: $31,846,530
International: $27,249,279

TOTAL: $59,095,809",Beast,https://www.imdb.com/title/tt13223398/,movie,5.6,93,2022,"Action, Adventure, Drama, Horror, Thriller",27194,2022-08-10,Baltasar Kormákur
54,tt12193804,2022-12-28,2023-01-31,"Opening Weekend: $4,765,000
4-Day Opening: $6,750,000
Domestic: $23,424,927
International: $33,000,000

TOTAL: $56,424,927",Whitney Houston: I Wanna Dance with Somebody,https://www.imdb.com/title/tt12193804/,movie,6.9,144,2022,"Biography, Drama, Music",7152,2022-12-18,Kasi Lemmons
55,tt21867370,2022-12-06,2023-01-18,"Opening Weekend:
Domestic:
International: $54,486,330

TOTAL: $54,486,330 (South Korean movie)",Gongjo 2: Inteonaesyeonal,https://www.imdb.com/title/tt21867370/,movie,6.6,129,2022,"Action, Comedy, Thriller",1070,2022-09-07,Seok-hoon Lee
